"belongs_to_collection","budget","genres","id","imdb_id","original_language","original_title","overview","popularity","poster_path","production_companies","production_countries","release_date","revenue","runtime","spoken_languages","status","tagline","title","video","vote_average","vote_count","Horror","Year","year","decade","bydecade","boxoffice"
"{'id': 1565, 'name': '28 Days/Weeks Later Collection', 'poster_path': '/4AeGz1Jwnq6ky2kfLT95Tm8nEiw.jpg', 'backdrop_path': '/bpn1vynevsKLwAMRikY1L6cb18p.jpg'}",5e+06,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]","170","tt0289043","en","28 Days Later","Twenty-eight days after a killer virus was accidentally unleashed from a British research facility, a small group of London survivors are caught in a desperate struggle to protect themselves from the infected. Carried by animals and humans, the virus turns those it infects into homicidal maniacs -- and it's absolutely impossible to contain.",17.656951,"/xaYdxi1PBEAYvqknvAmMPK5Eff3.jpg","[{'name': 'DNA Films', 'id': 284}, {'name': 'British Film Council', 'id': 10889}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2002-10-31,82719885,113,"[{'iso_639_1': 'es', 'name': 'Español'}, {'iso_639_1': 'en', 'name': 'English'}]","Released","His fear began when he woke up alone. His terror began when he realised he wasn't.","28 Days Later",FALSE,7.1,1816,TRUE,"2002",2002,"00s","00s",87719885
"",0,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]","113739","tt0056415","en","Ring of Terror","A group of medical students undertake some silly and frightening endeavors in order to pledge a fraternity.",0.450432,"/x4nI18ViZAp0NS9NSpy5P7c3vOg.jpg","[]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1962-02-01,0,71,"[{'iso_639_1': 'en', 'name': 'English'}]","Released","","Ring of Terror",FALSE,1.2,5,TRUE,"1962",1962,"60s","60s",0
"",0,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 14, 'name': 'Fantasy'}]","11482","tt0074811","fr","Le locataire","A quiet and inconspicuous man (Trelkovsky) rents an apartment in France where the previous tenant committed suicide, and begins to suspect his landlord and neighbors are trying to subtly change him into the last tenant so that he too will kill himself.",6.583984,"/pgCEAll5ROxjnIexHomp79dGGZs.jpg","[{'name': 'Marianne Productions', 'id': 1497}]","[{'iso_3166_1': 'FR', 'name': 'France'}]",1976-05-26,0,125,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]","Released","No one does it to you like Roman Polanski.","The Tenant",FALSE,7.7,181,TRUE,"1976",1976,"70s","70s",0
"",0,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}]","27814","tt0094793","en","Brain Damage","A normal, average guy who lives in New York City becomes dependent on an evil, disembodied brain.",4.899686,"/eB0cTAa0ishWLEfjvlpJAeagUMD.jpg","[{'name': 'Palisades Partners', 'id': 65285}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1988-04-15,0,86,"[{'iso_639_1': 'en', 'name': 'English'}]","Released","It's A Headache From Hell!","Brain Damage",FALSE,6.8,54,TRUE,"1988",1988,"80s","80s",0
"{'id': 9735, 'name': 'Friday the 13th Collection', 'poster_path': '/uobgqpLQff9WvxGKE2OSvXv1RHm.jpg', 'backdrop_path': '/c7pMKwv5NzIN6N3KM4L8fYMTtPw.jpg'}",3e+07,"[{'id': 27, 'name': 'Horror'}]","6466","tt0329101","en","Freddy vs. Jason","Evil dream-demon Freddy Krueger devises a plan to manipulate the unstoppable Jason Vorhees into hacking up the teenagers of Elm Street in an effort to make people remember the name Freddy Krueger, thus freeing him from limbo.",14.015739,"/smD9JEIKuvsllgjgrGTOzzbATeN.jpg","[{'name': 'New Line Cinema', 'id': 12}, {'name': 'Cecchi Gori Group Tiger Cinematografica', 'id': 371}, {'name': 'Avery Pix', 'id': 1565}, {'name': 'Sean S. Cunningham Films', 'id': 17611}, {'name': 'Crystal Lake Entertainment', 'id': 21783}, {'name': 'WTC Productions', 'id': 50102}, {'name': 'Yannix Technology Corporation', 'id': 53063}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'IT', 'name': 'Italy'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2003-08-15,114908830,97,"[{'iso_639_1': 'en', 'name': 'English'}]","Released","Evil Will Battle Evil","Freddy vs. Jason",FALSE,5.8,608,TRUE,"2003",2003,"00s","00s",144908830
"",658000,"[{'id': 80, 'name': 'Crime'}, {'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}]","18573","tt0045888","en","House of Wax","A horribly disfigured sculptor opens up the House of Wax in New York, using the wax-covered bodies of his victims as his displays.",9.072006,"/xHnnSZVhyXcUZvmTtVZqI4WIMYG.jpg","[{'name': 'Bryan Foy Productions', 'id': 5229}, {'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1953-04-10,23800000,90,"[{'iso_639_1': 'en', 'name': 'English'}]","Released","UNLIKE ANYTHING YOU'VE SEEN BEFORE!","House of Wax",FALSE,7,75,TRUE,"1953",1953,"50s","50s",24458000
"",6e+06,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]","41759","tt0107504","en","Man's Best Friend","A dog turns from man's best friend into man's worst nightmare as he attacks everything that moves.",4.719295,"/lmIEYfJdfB1pHroGkxc8m4CrIj6.jpg","[{'name': 'New Line Cinema', 'id': 12}, {'name': 'Roven-Cavallo Entertainment', 'id': 36887}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1993-11-19,12974636,97,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]","Released","Companion, Protector, Killer","Man's Best Friend",FALSE,5.5,26,TRUE,"1993",1993,"90s","90s",18974636
"",4e+06,"[{'id': 27, 'name': 'Horror'}]","37227","tt0086036","en","Of Unknown Origin","Bart Hughes has a pretty good life, a beautiful wife, a young son, a good job with promotion prospects, and a renovated brownstone in New York. When wife and kid leave for a vacation, Bart stays behind to work on a project that will earn him that promotion, unaware that a certain inhabitant of his basement has other plans for his time. Bart goes a bit bonkers trying to kill this rat, destroying most of his house in the process. Certain allegorical elements tie the household conflict to the ""rat race"" in his office, but the main event is certainly the night-and-day contest of wills between man and rodent.",3.009764,"/akpMxKrt3pTObRw0LJ5UFmSxQ0p.jpg","[{'name': 'Canadian Film Development Corporation (CFDC)', 'id': 4952}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Famous Players Limited', 'id': 16914}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1983-11-24,0,88,"[{'iso_639_1': 'en', 'name': 'English'}]","Released","Two forces have claimed the house. Only one will survive.","Of Unknown Origin",FALSE,5.9,19,TRUE,"1983",1983,"80s","80s",4e+06
"",0,"[{'id': 27, 'name': 'Horror'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 53, 'name': 'Thriller'}]","80047","tt0093840","es","Remando al viento","In the summer of 1816, Percy Shelley, his mistress Mary, and her stepsister Claire visit Lord Byron at Lake Geneva. Byron challenges each to write a horror story, and Mary begins her novel, Frankenstein. She imagines the monster becoming real, and for the next six years, as tragedy befalls those around her, she believes the personification of her imagination is the cause. Against this backdrop, Claire has Byron's baby then is estranged from him and barred from her daughter. Byron and Percy continue their friendship, the one self-centered and decadent, the other wildly idealistic. The Shelleys take up residence near Pisa.",0.00469,"/zWjIyCnbYI4n69fWmRadYW7AkGW.jpg","[]","[]",1988-01-01,0,126,"[{'iso_639_1': 'en', 'name': 'English'}]","Released","","Rowing with the Wind",FALSE,4.2,5,TRUE,"1988",1988,"80s","80s",0
"",4e+06,"[{'id': 27, 'name': 'Horror'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]","11206","tt0062467","en","Wait Until Dark","After a flight back home, Sam Hendrix returns with a doll he innocently acquired along the way. As it turns out, the doll is actually stuffed with heroin, and a group of criminals led by the ruthless Roat has followed Hendrix back to his place to retrieve it. When Hendrix leaves for business, the crooks make their move -- and find his blind wife, Susy, alone in the apartment. Soon, a life-threatening game begins between Susy and the thugs.",6.216637,"/m44YjHFnLkExI8fiCriJyMqkkpu.jpg","[{'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1967-10-26,1.1e+07,108,"[{'iso_639_1': 'en', 'name': 'English'}]","Released","A blind woman plays a deadly game of survival.","Wait Until Dark",FALSE,7.5,112,TRUE,"1967",1967,"60s","60s",1.5e+07
"",6e+06,"[{'id': 27, 'name': 'Horror'}]","26198","tt0085780","en","The Keep","Nazis take over an ancient fortress that contains a mysterious entity that wreaks havoc and death upon them.",3.554491,"/xy5yrQQLLpjHzPuaCRoa86jluXx.jpg","[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Associated Capital', 'id': 15124}, {'name': 'Capital Equipment Leasing', 'id': 15125}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1983-12-16,3661757,96,"[{'iso_639_1': 'en', 'name': 'English'}]","Released","THEY WERE ALL DRAWN TO THE KEEP. The soldiers who brought death. The father and daughter fighting for life. The people who have always feared it. And the one man who knows its secret... THE KEEP Tonight, they will all face the evil.","The Keep",FALSE,5.9,56,TRUE,"1983",1983,"80s","80s",9661757
"",0,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]","44585","tt0051381","en","Attack of the Puppet People","A deranged scientist creates a ray that can shrink people down to doll size.",0.475441,"/rZ8T8fUgBaLjXIkyMdEiBEhzo35.jpg","[{'name': 'Alta Vista Productions', 'id': 4820}, {'name': 'American International Pictures (AIP)', 'id': 9266}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1958-04-01,0,79,"[{'iso_639_1': 'en', 'name': 'English'}]","Released","Terror Comes In Small Packages!","Attack of the Puppet People",FALSE,4.8,12,TRUE,"1958",1958,"50s","50s",0
"",210000,"[{'id': 12, 'name': 'Adventure'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]","35073","tt0045546","en","The Beast from 20,000 Fathoms","The Beast from 20,000 Fathoms is a 1953 science fiction film directed by Eugène Lourié and stars Paul Christian, Paula Raymond and Cecil Kellaway with visual effects by Ray Harryhausen. The film is about an atomic bomb test in the Arctic Circle that unfreezes a hibernating fictional dinosaur, a Rhedosaurus, that begins to wreak havoc in New York City.",3.424057,"/sHH78Wlxs51ApN2dZR9DuBHIw4v.jpg","[{'name': 'Warner Bros.', 'id': 6194}, {'name': 'Jack Dietz Productions', 'id': 19558}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1953-06-13,5e+06,80,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]","Released","It's alive !","The Beast from 20,000 Fathoms",FALSE,6.7,41,TRUE,"1953",1953,"50s","50s",5210000
"{'id': 91799, 'name': 'Tremors Collection', 'poster_path': '/dCeNEdBgkpXMIAndv02JI3DXzKj.jpg', 'backdrop_path': '/87K8X2WixRlR3LxzeydW83N7nM0.jpg'}",1.1e+07,"[{'id': 28, 'name': 'Action'}, {'id': 27, 'name': 'Horror'}]","9362","tt0100814","en","Tremors","Hick handymen Val McKee and Earl Bassett can barely eke out a living in the Nevada hamlet of Perfection, so they decide to leave town -- despite an admonition from a shapely seismology coed who's picking up odd readings on her equipment. Before long, Val and Earl discover what's responsible for those readings: 30-foot-long carnivorous worms with a proclivity for sucking their prey underground.",15.750026,"/kv9ct0Nn6VX43uYSsqfyKwRalUC.jpg","[{'name': 'Universal Pictures', 'id': 33}, {'name': 'No Frills Film Production', 'id': 3851}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1990-01-19,48572000,96,"[{'iso_639_1': 'en', 'name': 'English'}]","Released","The monster movie that breaks new ground.","Tremors",FALSE,6.6,882,TRUE,"1990",1990,"90s","90s",59572000
"",0,"[{'id': 27, 'name': 'Horror'}, {'id': 10749, 'name': 'Romance'}]","33521","tt0079073","en","Dracula","Romanticized adaptation of Bram Stoker's 1897 classic. Set in 1913 England, the bloodsucking, but handsome, charming and seductive, Count Dracula seeks an immortal bride.",3.31004,"/nS20AU8Iorb3nEJdIEpk4J0RR0j.jpg","[{'name': 'Universal Pictures', 'id': 33}, {'name': 'The Mirisch Corporation', 'id': 219}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1979-07-20,0,109,"[{'iso_639_1': 'nl', 'name': 'Nederlands'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ro', 'name': 'Română'}]","Released","Throughout history he has filled the hearts of men with terror, and the hearts of women with desire.","Dracula",FALSE,6.4,49,TRUE,"1979",1979,"70s","70s",0
"{'id': 94899, 'name': 'Jeepers Creepers Collection', 'poster_path': '/2qyn3GJXqLP54fbWazRGvsnkmAA.jpg', 'backdrop_path': '/mzFtvzOdmuDYoQQuOzulsJkAUQB.jpg'}",1.7e+07,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]","11351","tt0301470","en","Jeepers Creepers 2","After 23 horrifying days of gorging on human flesh, an ancient creature known as the Creeper embarks on a final voracious feeding frenzy, terrorizing a group of varsity basketball players, cheerleaders and coaches stranded on a remote highway when their bus breaks down. The terrified group is forced to come together and do battle against the winged creature hell-bent on completing its grizzly ritual.",14.786032,"/kYeoI6pFmt4mH6yndFgg0lyQZvL.jpg","[{'name': 'United Artists', 'id': 60}, {'name': 'American Zoetrope', 'id': 70}, {'name': 'Myriad Pictures', 'id': 738}, {'name': 'Jeepers Creepers II', 'id': 53348}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2003-08-08,63102666,104,"[{'iso_639_1': 'en', 'name': 'English'}]","Released","He can taste your fear.","Jeepers Creepers 2",FALSE,5.5,304,TRUE,"2003",2003,"00s","00s",80102666
"",3.5e+07,"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}, {'id': 53, 'name': 'Thriller'}]","9616","tt0304711","en","The Order","For centuries, a secret Order of priests has existed within the Church. A renegade priest, Father Alex Bernier, is sent to Rome to investigate the mysterious death of one of the Order's most revered members. Following a series of strangely similar killings, Bernier launches an investigation that forces him to confront unimaginable evil.",5.370818,"/rA4pObT4LkueerqbpIac5A7Ds3H.jpg","[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'N1 European Film Produktions GmbH & Co. KG', 'id': 8874}, {'name': 'Baumgarten Merims Productions', 'id': 14652}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2003-09-05,11560806,102,"[{'iso_639_1': 'en', 'name': 'English'}]","Released","Every soul has its price.","The Order",FALSE,4.8,93,TRUE,"2003",2003,"00s","00s",46560806
"{'id': 201576, 'name': 'The Cabin Fever Collection', 'poster_path': '/u4SLX7S1SdBzaUzPpGWfRaEa1E1.jpg', 'backdrop_path': '/j82lEJUxFlXC35Pi75P3sAbkTUq.jpg'}",1500000,"[{'id': 27, 'name': 'Horror'}]","11547","tt0303816","en","Cabin Fever","A group of five college graduates rent a cabin in the woods and begin to fall victim to a horrifying flesh-eating virus, which attracts the unwanted attention of the homicidal locals.",6.466688,"/pDFFHha2KwW6ZjvrZQtXaS6PIYV.jpg","[{'name': 'Lions Gate Films', 'id': 35}, {'name': 'Tonic Films', 'id': 2763}, {'name': 'Down Home Entertainment', 'id': 22953}, {'name': 'Cabin Pictures', 'id': 22954}, {'name': 'Black Sky Entertainment', 'id': 22955}, {'name': 'Deer Path Films', 'id': 22956}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2003-08-15,30553394,93,"[{'iso_639_1': 'en', 'name': 'English'}]","Released","Terror… in the flesh.","Cabin Fever",FALSE,5.5,332,TRUE,"2003",2003,"00s","00s",32053394
"",0,"[{'id': 27, 'name': 'Horror'}]","61054","tt0103957","en","Children Of The Night","Cindy and Lucy are eighteen and going away to college. As a ritual they must rid themselves of the dirt of their small home town (Allburg) by swimming in an abandoned church crypt. They jump in and begin talking about sex when Lucys crucifix falls into the water and drifts down to land on Czakyr's (an ancient vampire) head, apparently waking him up. Some time onwards a school teacher from a nearby town, Mark, gets directed to Allburg to help Lucy and her grandmother, who are suspected to be in trouble. Lucy becomes the target of a town turned vampire because of her 'virgin blood'. Mark, Lucy and an old wino shack up in an abandoned building outside of town but eventually get lured back to Allburg by the locals. There, with a giant glowing cross spearing the front of their Toyota, they take the town on and battle Czakyr.",0.312221,"/3ffDVpqFrDfYklv7lfnLRF2pABs.jpg","[]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1991-09-06,0,92,"[{'iso_639_1': 'en', 'name': 'English'}]","Released","Be home before nightfall... and pray for dawn!","Children Of The Night",FALSE,4.4,8,TRUE,"1991",1991,"90s","90s",0
"{'id': 261590, 'name': 'Living Dead Collection', 'poster_path': '/mSJ20RTWWgtt3aTyn1iwNZ9fbYl.jpg', 'backdrop_path': '/inPPfnJ9Wzc9rg1MpkPm0P3D9rJ.jpg'}",3500000,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]","8408","tt0088993","en","Day of the Dead","The final chapter of George A. Romero's ""Dead Trilogy"". In an underground government installation they are searching for a cure to overcome this strange transformation into zombies. Unfortunately, the zombies from above ground have made their way into the bunker.",8.801822,"/yJ2emwXWwQc6VHW3fO4GZr0hXBt.jpg","[{'name': 'Dead Films', 'id': 2482}, {'name': 'Laurel Entertainment', 'id': 2483}, {'name': 'Toei', 'id': 5822}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'JP', 'name': 'Japan'}]",1985-07-19,3.4e+07,96,"[{'iso_639_1': 'en', 'name': 'English'}]","Released","The darkest day of horror the world has ever known.","Day of the Dead",FALSE,6.9,276,TRUE,"1985",1985,"80s","80s",37500000
"",0,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]","31579","tt0075930","en","God Told Me To","A New York detective investigates a series of murders committed by random New Yorkers who claim that ""God told them to.""",1.903143,"/xptk4Pa5CdfofDlskITmKup9CN7.jpg","[{'name': 'New World Pictures', 'id': 1950}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1976-10-31,0,91,"[{'iso_639_1': 'en', 'name': 'English'}]","Released","Don't let it control you!","God Told Me To",FALSE,5.1,22,TRUE,"1976",1976,"70s","70s",0
"",0,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]","40353","tt0097557","en","I, Madman","Virginia works at a used book store. She's really into horror novels and discovers a really good book. It's called ""I, Madman"" and it's about an insane doctor who cuts off people's noses, ears, and hair and puts them on his face to please a girl he likes. Only Virginia discovers that the book is nonfiction, and every time she picks up the book to read it, she sees him. The insane doctor from the book has escaped the book into our reality.",5.593601,"/irq30pWpjpETuY77NUtXLnkkemp.jpg","[]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1989-01-01,151203,89,"[{'iso_639_1': 'en', 'name': 'English'}]","Released","","I, Madman",FALSE,5.4,19,TRUE,"1989",1989,"80s","80s",151203
"",3200000,"[{'id': 27, 'name': 'Horror'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]","19064","tt0089730","en","Once Bitten","Mark wants to lose his virginity, but his girlfriend wants to wait. Unfortunately for both of them, a 400-year-old vampire Countess needs to turn a virgin into a vampire before Halloween in order to preserve her own youthful appearance, and when she finds Mark, she turns his life upside-down.",6.174699,"/5Te59jOiZAD6Qr5o2Nf9HnmKXUE.jpg","[{'name': 'Night Light Films', 'id': 3344}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1985-11-15,1e+07,94,"[{'iso_639_1': 'en', 'name': 'English'}]","Released","A one-night stand with eternal complications!","Once Bitten",FALSE,5.3,75,TRUE,"1985",1985,"80s","80s",13200000
"",0,"[{'id': 27, 'name': 'Horror'}]","25241","tt0075261","en","Squirm","At the beginning of the film, we learn from one of the characters that earthworms can be called to the surface with electricity, but somehow it turns them into vicious flesh-eaters. Sure enough, a storm that night causes some power lines to break and touch the ground, drawing millions of man-eating worms out of the earth, and into town where they quickly start munching on the locals.",3.192931,"/e3liD2X2cLi3q6PjzpYVt5Xdw4V.jpg","[{'name': 'American International Pictures (AIP)', 'id': 9266}, {'name': 'Squirm Company', 'id': 13099}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1976-07-30,0,92,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'it', 'name': 'Italiano'}]","Released","This was the night of the CRAWLING TERROR!","Squirm",FALSE,5.2,29,TRUE,"1976",1976,"70s","70s",0
"",1355000,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]","28942","tt0078908","en","The Brood","A man tries to uncover an unconventional psychologist's therapy techniques on his institutionalized wife, while a series of brutal attacks committed by a brood of mutant children coincides with the husband's investigation.",9.445978,"/dptqBZfp0xnBS9qGFwlYhpCb06S.jpg","[{'name': 'Canadian Film Development Corporation (CFDC)', 'id': 4952}, {'name': 'Victor Solnicki Productions', 'id': 6161}, {'name': 'Elgin International Films', 'id': 10319}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}]",1979-05-25,0,92,"[{'iso_639_1': 'en', 'name': 'English'}]","Released","The Ultimate Experience Of Inner Terror","The Brood",FALSE,6.6,138,TRUE,"1979",1979,"70s","70s",1355000
"",1e+06,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}, {'id': 14, 'name': 'Fantasy'}]","9707","tt0281686","en","Bubba Ho-tep","Bubba Ho-tep tells the ""true"" story of what really did become of Elvis Presley. We find Elvis as an elderly resident in an East Texas rest home, who switched identities with an Elvis impersonator years before his ""death,"" then missed his chance to switch back. He must team up with JFK and fight an ancient Egyptian mummy for the souls of their fellow residents.",5.574383,"/tapqXzEMQWolWpULLjNycV38cYG.jpg","[{'name': 'MGM', 'id': 5899}, {'name': 'Silver Sphere Corporation', 'id': 59341}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2002-06-09,0,92,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]","Released","The King vs. The King of the Dead.","Bubba Ho-tep",FALSE,6.7,192,TRUE,"2002",2002,"00s","00s",1e+06
"",0,"[{'id': 80, 'name': 'Crime'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]","20321","tt0286594","en","Doctor Sleep","While treating a policewoman for smoking, hypnotherapist Michael Strother has a telepathic vision of a young girl floating beneath the surface of a stream. The escaped victim of a ritualistic serial killer, the girl has become mute, and Michael is called upon by Scotland Yard to unlock the secrets she holds in order to catch a man who believes he has discovered the key to immortality.",6.327386,"/paaWecYcG65zH7HCPd9wXtMu51B.jpg","[{'name': 'Film Council', 'id': 246}, {'name': 'BBC Films', 'id': 288}, {'name': 'British Screen', 'id': 871}, {'name': 'The Film Consortium', 'id': 1218}, {'name': 'Kismet Film Company', 'id': 3753}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'FR', 'name': 'France'}]",2002-02-01,0,108,"[{'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'en', 'name': 'English'}]","Released","The deeper the sleep. The darker the fear.","Close Your Eyes",FALSE,5.6,13,TRUE,"2002",2002,"00s","00s",0
"",5952000,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 878, 'name': 'Science Fiction'}]","837","tt0086541","en","Videodrome","A sleazy cable-TV programmer begins to see his life and the future of media spin out of control in a very unusual fashion when he acquires a new kind of programming for his station.",7.945039,"/fl09Ai2lKPau49MdLp0pOc5rYlP.jpg","[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Famous Players Ltd', 'id': 541}, {'name': 'Guardian Trust Company', 'id': 542}, {'name': 'Filmplan International II', 'id': 543}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}]",1983-02-04,2120439,87,"[{'iso_639_1': 'en', 'name': 'English'}]","Released","First it controls your mind. Then it destroys your body.","Videodrome",FALSE,7.1,464,TRUE,"1983",1983,"80s","80s",8072439
"",0,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}]","11477","tt0255067","es","La comunidad","Julia finds 300 million pesetas hidden in a dead man's house while selling an apartment. She's a 40-ish real estate agent now forced to face the wrath of a very peculiar community (of neighbors), headed by an unscrupulous administrator. Black humor gives way to suspense, closely followed by horror that doesn't take long in coming to a head in undisguised pandemonium.",3.693966,"/9fhUr1GP70tqhLigDjzeZ9yMnLy.jpg","[{'name': 'Vía Digital', 'id': 357}, {'name': 'Lolafilms', 'id': 6861}, {'name': 'Antena 3 Televisión', 'id': 11737}]","[{'iso_3166_1': 'ES', 'name': 'Spain'}]",2000-09-29,0,105,"[{'iso_639_1': 'es', 'name': 'Español'}]","Released","Love Thy Neighbor's... Money","Common Wealth",FALSE,6.9,57,TRUE,"2000",2000,"00s","00s",0
"",3800000,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]","29161","tt0087909","en","Phenomena","A young girl, with an amazing ability to communicate with insects, is transferred to an exclusive Swiss boarding school, where her unusual capability might help solve a string of murders.",5.621519,"/qUwGQT1EtkIm8vtN3VtnBDOoV7q.jpg","[{'name': 'DACFILM Rome', 'id': 4746}]","[{'iso_3166_1': 'IT', 'name': 'Italy'}]",1985-01-31,0,116,"[{'iso_639_1': 'da', 'name': 'Dansk'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'it', 'name': 'Italiano'}]","Released","When Insects Attack!","Phenomena",FALSE,6.7,146,TRUE,"1985",1985,"80s","80s",3800000
"{'id': 11794, 'name': 'Ginger Snaps Collection', 'poster_path': '/nqt1FUoBERJ98CbNM8NClg5Kknc.jpg', 'backdrop_path': '/gPzW1WAb9Pi1vj9JMxzi3DIhhO9.jpg'}",5e+06,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}]","9871","tt0210070","en","Ginger Snaps","The story of two outcast sisters, Ginger (Katharine Isabelle) and Brigitte (Emily Perkins), in the mindless suburban town of Bailey Downs. On the night of Ginger's first period, she is savagely attacked by a wild creature. Ginger's wounds miraculously heal but something is not quite right. Now Brigitte must save her sister and save herself.",5.603312,"/ChTLC17F4nIjA7jP4F6QX9A8FJ.jpg","[{'name': 'Copperheart Entertainment', 'id': 5106}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2000-08-01,0,108,"[{'iso_639_1': 'en', 'name': 'English'}]","Released","Hungry like the Wolf.","Ginger Snaps",FALSE,6.6,211,TRUE,"2000",2000,"00s","00s",5e+06
